"Dataset","#trainingReleases","%training","%defectiveTraining","%defectiveTesting","classifier","balancing","featureSelection","sensitivity","TP","FP","TN","FN","precision","recall","AUC","kappa"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","No sampling","Best First","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","No sampling","Best First","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","No sampling","Best First","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","No sampling","No selection","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","No sampling","No selection","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","No sampling","No selection","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Undersampling","Best First","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Undersampling","Best First","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Undersampling","Best First","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Undersampling","No selection","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Undersampling","No selection","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Undersampling","No selection","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Oversampling","Best First","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Oversampling","Best First","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Oversampling","Best First","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Oversampling","No selection","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Oversampling","No selection","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Oversampling","No selection","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","No sampling","Best First","Sensitive threshold","0.99422","1.0","0.0","0.00578","0.785388","0.99422","0.49711","-0.008981"
