"Dataset","#trainingReleases","Classifier","precision","recall","AUC","kappa"
"SYNCOPE","1","Random Forest","1.0","1.0","0.0","1.0"
"SYNCOPE","1","Naive Bayes","1.0","1.0","0.0","1.0"
"SYNCOPE","1","IBk","1.0","1.0","0.0","1.0"
"SYNCOPE","2","Random Forest","1.0","1.0","0.0","1.0"
"SYNCOPE","2","Naive Bayes","1.0","1.0","0.0","1.0"
"SYNCOPE","2","IBk","1.0","1.0","0.0","1.0"
"SYNCOPE","3","Random Forest","1.0","1.0","0.0","1.0"
"SYNCOPE","3","Naive Bayes","1.0","1.0","0.0","1.0"
"SYNCOPE","3","IBk","1.0","1.0","0.0","1.0"
"SYNCOPE","4","Random Forest","1.0","1.0","0.0","1.0"
"SYNCOPE","4","Naive Bayes","1.0","1.0","0.0","1.0"
"SYNCOPE","4","IBk","1.0","1.0","0.0","1.0"
"SYNCOPE","5","Random Forest","0.99","1.0","0.5","0.0"
"SYNCOPE","5","Naive Bayes","0.99","1.0","0.5","0.0"
"SYNCOPE","5","IBk","0.99","1.0","0.5","0.0"
"SYNCOPE","6","Random Forest","1.0","1.0","0.5","0.0"
"SYNCOPE","6","Naive Bayes","1.0","1.0","0.5","0.0"
"SYNCOPE","6","IBk","1.0","1.0","0.14","0.0"
"SYNCOPE","7","Random Forest","0.97","1.0","0.51","0.0"
"SYNCOPE","7","Naive Bayes","0.97","0.9","0.53","-0.02"
"SYNCOPE","7","IBk","0.97","1.0","0.39","0.0"
"SYNCOPE","8","Random Forest","1.0","1.0","0.49","0.0"
"SYNCOPE","8","Naive Bayes","1.0","1.0","0.57","0.0"
"SYNCOPE","8","IBk","1.0","1.0","0.41","0.0"
"SYNCOPE","9","Random Forest","1.0","1.0","0.5","0.0"
"SYNCOPE","9","Naive Bayes","1.0","1.0","0.55","0.0"
"SYNCOPE","9","IBk","1.0","1.0","0.38","0.0"
"SYNCOPE","10","Random Forest","1.0","1.0","0.5","0.0"
"SYNCOPE","10","Naive Bayes","1.0","1.0","0.56","0.0"
"SYNCOPE","10","IBk","1.0","1.0","0.37","0.0"
"SYNCOPE","11","Random Forest","1.0","1.0","0.46","0.0"
"SYNCOPE","11","Naive Bayes","1.0","1.0","0.32","0.0"
"SYNCOPE","11","IBk","1.0","1.0","0.62","0.0"
"SYNCOPE","12","Random Forest","1.0","1.0","0.0","1.0"
"SYNCOPE","12","Naive Bayes","1.0","1.0","0.0","0.0"
"SYNCOPE","12","IBk","1.0","1.0","0.0","1.0"
"SYNCOPE","13","Random Forest","0.4","1.0","0.71","0.0"
"SYNCOPE","13","Naive Bayes","0.57","1.0","0.73","0.45"
"SYNCOPE","13","IBk","0.41","1.0","0.72","0.0"
"SYNCOPE","14","Random Forest","0.51","1.0","0.67","0.0"
"SYNCOPE","14","Naive Bayes","0.65","0.99","0.78","0.42"
"SYNCOPE","14","IBk","0.52","1.0","0.92","0.01"
"SYNCOPE","15","Random Forest","1.0","0.95","0.0","0.0"
"SYNCOPE","15","Naive Bayes","1.0","0.54","0.0","0.0"
"SYNCOPE","15","IBk","1.0","0.96","0.0","0.0"
"SYNCOPE","16","Random Forest","1.0","0.93","0.0","0.0"
"SYNCOPE","16","Naive Bayes","1.0","0.52","0.0","0.0"
"SYNCOPE","16","IBk","1.0","0.89","0.0","0.0"
"SYNCOPE","17","Random Forest","1.0","0.99","0.0","0.0"
"SYNCOPE","17","Naive Bayes","1.0","0.62","0.0","0.0"
"SYNCOPE","17","IBk","1.0","0.99","0.0","0.0"
"SYNCOPE","18","Random Forest","1.0","0.97","0.0","0.0"
"SYNCOPE","18","Naive Bayes","1.0","0.99","0.0","0.0"
"SYNCOPE","18","IBk","1.0","0.96","0.0","0.0"
"SYNCOPE","19","Random Forest","1.0","1.0","0.0","1.0"
"SYNCOPE","19","Naive Bayes","1.0","0.94","0.0","0.0"
"SYNCOPE","19","IBk","1.0","0.99","0.0","0.0"
"SYNCOPE","20","Random Forest","1.0","0.98","0.0","0.0"
"SYNCOPE","20","Naive Bayes","1.0","0.45","0.0","0.0"
"SYNCOPE","20","IBk","1.0","0.98","0.0","0.0"
"SYNCOPE","21","Random Forest","1.0","0.99","0.0","0.0"
"SYNCOPE","21","Naive Bayes","1.0","0.24","0.0","0.0"
"SYNCOPE","21","IBk","1.0","0.98","0.0","0.0"
"SYNCOPE","22","Random Forest","1.0","1.0","0.0","0.0"
"SYNCOPE","22","Naive Bayes","1.0","0.01","0.0","0.0"
"SYNCOPE","22","IBk","1.0","0.99","0.0","0.0"
"SYNCOPE","23","Random Forest","1.0","1.0","0.0","0.0"
"SYNCOPE","23","Naive Bayes","1.0","0.01","0.0","0.0"
"SYNCOPE","23","IBk","1.0","1.0","0.0","0.0"
"SYNCOPE","24","Random Forest","1.0","0.98","0.0","0.0"
"SYNCOPE","24","Naive Bayes","1.0","0.0","0.0","0.0"
"SYNCOPE","24","IBk","1.0","0.98","0.0","0.0"
"SYNCOPE","25","Random Forest","1.0","1.0","0.0","1.0"
