@relation file_syncope/training_syncope_14
@attribute size numeric
@attribute commit_number numeric
@attribute loc_touched numeric
@attribute loc_added numeric
@attribute max_loc_added numeric
@attribute avg_loc_added numeric
@attribute churn numeric
@attribute max_churn numeric
@attribute avg_churn numeric
@attribute auth_number numeric
@attribute class {true, false}

@data
100,1,100,100,100,100,100,100,100,1,false
258,1,258,258,258,258,258,258,258,1,false
101,1,101,101,101,101,101,101,101,1,false
178,1,178,178,178,178,178,178,178,1,false
32,1,32,32,32,32,32,32,32,1,false
28,1,28,28,28,28,28,28,28,1,false
45,1,45,45,45,45,45,45,45,1,false
32,2,36,33,28,28,32,28,16,2,false
75,3,88,81,75,75,77,75,25,2,false
251,2,271,261,211,211,251,211,125,2,false
87,1,87,87,87,87,87,87,87,1,false
82,1,82,82,82,82,82,82,82,1,false
45,1,45,45,45,45,45,45,45,1,false
143,1,143,143,143,143,143,143,143,1,false
98,1,98,98,98,98,98,98,98,1,false
46,1,46,46,46,46,46,46,46,1,false
32,1,32,32,32,32,32,32,32,1,false
102,1,102,102,102,102,102,102,102,1,false
112,1,112,112,112,112,112,112,112,1,false
85,1,85,85,85,85,85,85,85,1,false
57,1,57,57,57,57,57,57,57,1,false
210,1,210,210,210,210,210,210,210,1,false
41,1,41,41,41,41,41,41,41,1,false
34,1,34,34,34,34,34,34,34,1,false
140,1,140,140,140,140,140,140,140,1,false
85,1,85,85,85,85,85,85,85,1,false
49,1,49,49,49,49,49,49,49,1,false
111,1,111,111,111,111,111,111,111,1,false
46,1,46,46,46,46,46,46,46,1,false
91,1,91,91,91,91,91,91,91,1,false
151,1,151,151,151,151,151,151,151,1,false
73,1,73,73,73,73,73,73,73,1,false
44,1,44,44,44,44,44,44,44,1,false
47,1,47,47,47,47,47,47,47,1,false
66,1,66,66,66,66,66,66,66,1,false
153,1,153,153,153,153,153,153,153,1,false
105,1,105,105,105,105,105,105,105,1,false
49,1,49,49,49,49,49,49,49,1,false
53,1,53,53,53,53,53,53,53,1,false
125,1,125,125,125,125,125,125,125,1,false
98,1,98,98,98,98,98,98,98,1,false
40,1,40,40,40,40,40,40,40,1,false
169,2,169,169,141,141,169,141,84,2,false
235,1,235,235,235,235,235,235,235,1,false
177,1,177,177,177,177,177,177,177,1,false
74,1,74,74,74,74,74,74,74,1,false
115,1,115,115,115,115,115,115,115,1,false
134,2,134,134,124,124,134,124,67,2,false
49,1,49,49,49,49,49,49,49,1,false
104,1,104,104,104,104,104,104,104,1,false
34,1,34,34,34,34,34,34,34,1,false
101,2,101,101,72,72,101,72,50,2,false
84,1,84,84,84,84,84,84,84,1,false
213,1,213,213,213,213,213,213,213,1,false
34,1,34,34,34,34,34,34,34,1,false
46,1,46,46,46,46,46,46,46,1,false
133,1,133,133,133,133,133,133,133,1,false
151,1,151,151,151,151,151,151,151,1,false
399,2,412,399,370,370,399,370,199,2,false
63,1,63,63,63,63,63,63,63,1,false
96,1,96,96,96,96,96,96,96,1,false
93,1,93,93,93,93,93,93,93,1,false
75,1,75,75,75,75,75,75,75,1,false
29,1,29,29,29,29,29,29,29,1,false
175,1,175,175,175,175,175,175,175,1,false
27,1,27,27,27,27,27,27,27,1,false
244,1,244,244,244,244,244,244,244,1,false
98,2,104,101,98,98,98,98,49,1,false
37,1,37,37,37,37,37,37,37,1,false
31,1,31,31,31,31,31,31,31,1,false
107,2,107,107,97,97,107,97,53,2,false
66,1,66,66,66,66,66,66,66,1,false
37,1,37,37,37,37,37,37,37,1,false
35,1,35,35,35,35,35,35,35,1,false
69,1,69,69,69,69,69,69,69,1,false
172,2,175,172,158,158,172,158,86,2,false
353,1,353,353,353,353,353,353,353,1,false
49,1,49,49,49,49,49,49,49,1,false
26,1,26,26,26,26,26,26,26,1,false
